вертикальная отдельность	прадоўжная адменнасьць	die vertikale Schichtsonderung 
вечная мерзлота 	вечная мерзлата 	der ewige Frostzustand 
взбалтывать	збоўтваць	umschütteln, umrühren 
взволнованная поверхность	узрушаная паверхня	die aufgerührte (bewegte) Oberfläche 
взвешенный материал	мут, узважаны матар’ял	das Aufgeschlämmte, die Trübe 
взгорье 	узгор’е 	der Anhügel, die Anhöhe 
взмучивание	ускаламучваньне	das Aufschlämmen 
взаимодействие 	узаемадзейнасьць 	der gegenteilige Einfluss 
вивианит	вівіяніт	das Vivianit 
вискозиметр	грузкамер	der Viskosimeter 
включения 	уключэньні, улучэньні	der Einschluss  
влага гигроскопическая	паветраная вільгаць	das hygroskopische Wasser 
влагоемкость	вадаёмнасьць	die Wasserkapacität 
вмывание	нутраўмываньне	das Hineinwaschen 
внедряющийся в глубину	уедлівы 	in die Tiefe gehend, areïdimensional 
вода почвенная	верхаводка	das Bodenwasser 
вода грунтовая 	вада грунтавая, падземная	das Grundwasser  
водоподъемность 	вадапад’ёмнасьць 	die Wasseraufhebungsfähigkeit 
водопроводимость 	вадаправоднасьць	die Wasserleitungsfähigkeit 
водопроницаемость	вадапрапушчальнасьць	die Wasserdurchlässigkeit 
водоупорный слой 	вадастойкі пласт 	die wasserundurchlässige Schicht 
водяная баня	вадзяная грэлка (хэмічны тэрмін)	das Wasserbad  
воздухопроницаемость	паветрапрапушчальнасьць	die Luftdurchlässigkeit 
воздушная баня	паветравая грэлка	das Luftbad 
воздушно-сухой	паветрана-сухі	lufttrocken 
возрастание скорости падения 	узрастаньне скорасьці па´даньня 	das Anwachsen der Fallgeschwindigkeit 
впадение	упад, уток	die Einsenkung 
впадина  	западзіна, падзіна, западзь, ямка	die Einsenkung   
впитывать	убіраць, уцягаць	einsaugen, einziehen 
впуклый	упуклы, угіблы	eingebogen, eingedrückt 
время отстаиванья	час адстойваньня 	die Periode des Abklärens 
воронка делительная	падзельная лейка 	der Teiltrichter  
воронкообразный	лейкаваты 	trichterförmig  
воспринимать	успрымаць	auffassen, aufnehmen 
волосность	валоснасьць	die Kapillarität 
всасывать	усосваць	einsaugen 
вскипать (от соляной кислоты)	ускіпаць 	aufbrausen, aufschäumen 
всколебать 	ускалануць, ззыбнуць	aufrühren, in Bewegung bringen 
вспучиваться 	успучвацца 	sich aufblähen, auftreiben 
втекать	улівацца	hineinfliessen 
выветривание	выве´трываньне	die Verwitterung 
выветривание биологическое	выве´трываньне біолёгічнае	die biologische Verwitterung  
выветравание механическое	выве´трываньне мэханічнае	die mechanische Verwitterung  
выветривание органическое	выве´трываньне органічнае	die organische Verwitterung 
выветривание химическое	выве´трываньне хэмічнае	die chemische Verwitterung 
выдувание 	выдзіманьне, вывяваньне	das Ausblasen, Auswehen 
выемка (образца) 	вынімка 	die Ausgrabung, das Ausnehmen
выкачать	вы´пампаваць	auspumpen 
вымерзание	вымярзаньне	das Ausfrieren, Durchfrieren
выпаривать 	выпа´рваць 	verdampfen, verdünsten, auskochen 
выпуклый	пука´ты	ausgebogen, erhaben 
высокоствольный лес	гонкі лес 	der Hochwald  
высота абсолютная	вышыня абсолютная	die absolute Höhe  
высота водораздельная	узвышша вадападзельнае	die Wasserscheide  
высота относительная	вышыня адносная 	die relative Höhe  
высушивать	высушваць	austrocknen 
вытекание 	выцяканьне 	das Ausfliessen, der Ausfluss 
вытеснять (хим.)	выціскаць	verdrängen 
вытяжка	вы´цяжка	der Auszug 
вытяжка водная	вы´цяжка во´дная	der Wasserauszug 
вытяжка лимоннокислая	вы´цяжка цытрынна-кіслая	der Zitronensäureauszug 
вытяжка солянокислая	вы´цяжка салянакіслая	der Salzsäureauszug  
вытяжка фтористоводородная	вы´цяжка флюёравадародная 	der Fluorwasserstoffauszug  
выхлопковывание	вызгусткоўваньне	die Ausflockung 
выщелачивание	лугаваньне	die Auslaugung 
выцветы солей 	выцьветы соляў 	die Ausblühungen v. Salzen 
вязкость 	грузкасьць 	die Klebrigkeit, Zähigkeit 
вскипятить	згатаваць	aufkochen 
галечник	галачнік; галька	das Gerölle 
гель 	гель; згустак студнявы	die Gele  
герметически	гэрмэтычна	hermetisch, luftdicht 
гидрогель 	гідрагель; згустак водны	die Hydrogele  
гидрозоль 	гідразоль, расьцечнік водны	die Hydrosol  
гидрат 	гідрат, воднік 	das Hydrat, Wasserstoffverbindung 
гигроскопичность  	гіграскопічнасьць, вадаўбіральнасьць	die Hygroskopicität   
гидрография 	гідраграфія 	die Hydrographie, Gewässerkunde 
гипс	гіпс	der Gyps, Gips 
главконит	гляўконіт	der Glaukonit 
глеевой горизонт	глеявы пазем	der Gleyhorizont 
глей	глей	der Gley 
глееватый	глеяваты	gleyartig 
глина	гліна	der Lehm 
глина жирная 	гліна тлустая 	der fette Lehm, der bindige Lehm
глина лессовидная	гліна лёэсаватая	der lössartige Lehm 
глина лессовая	гліна лёэсавая	der Lösslehm 
глина осадочная  	гліна пластовая  	der Flottlehm, Fliesslehm, abgelagerte Lehm 
глина ленточная 	гліна стужкаватая, стужкавая	der bandartige Lehm  
глинистый	гліністы	lehmig, tönig 
глинозем	гліназем	die Tonerde 
гниение 	гніцьцё 	das Faulen, die Fäulniss 
голубой глей 	блакітны глей 	der blaue, hellblaue Gley 
горелка	пальнік	der Brenner
горизонт (почвенный)	пазем, слой 	der Horizont, die Schicht 
гравитационная вода	гравітацыйная вада	das Gravitationswasser 
гравий 	жвір, чвыр, баляс(т)	der Gruhs, der Kies, der Kiessand 
граница фаз 	мяжа адмены, стану	die Phasengrenze  
грива	грыва	der Kamm 
горизонтальное падение пластов	падольны спад пластоў, слаёў	die horizontale Neigung, Senkung d. S. 
гуматный 	гуматны, перагнойнакіслы	humat  
гуматы  	гуматы, солі перагнойных кіслот	das Humat   
гуминовая кислота	гумінавая кіслата	die Huminsäure 
гумин	гумін	das Humin 
гумозный	гумозны	humose 
гумусовая кислота 	гумусавая кіслата, перагнойная кіслата	die Humussäure   
гумусообразный  	гумусападабны, перагноенападобны	humusartig   
гумус	гумус, перагной	der Humus 
деградация 	дэградацыя; ападзольваньне	die Degradation, die Rückbildung 
декантация	дэкантацыя	das Dekantieren 
делювий	дэлюві	das Deluvium 
денитрификация 	дэнітрыфікацыя	die Denitrifikation  
десульфуризация  	дэсульфурызацыя, высеркаваньне	die Desulfurisation   
дернина	дзёран, дзярніна	die Rasenfläche 
диаспора (рассып. област.)	дыяспора 	die Diaspora  
дилювий	дылюві	das Diluvium 
дисперсная фаза	крышны стан	die Dispersionsphase 
дисперсность  	крышнасьць, дробнападзельнасьць	die Dispersität, Feinverteilung  
диссоциация	дысоцыяцыя	die Dissociation 
диффузия 	дыфузія, прасякненьне	die Diffusion  
длительность отмучивания	працягласьць адкаламучваньня	die Abschlämmdauer  
дождевой червь 	чарвяк-дажджавік	der Regenwurm  
дождевого червя отбросы	адкідкі дажджавога чарвяка	die Regenwurmkrümel 
дождевого червя ходы	ходы дажджавога чарвяка	die Regenwurmgänge, die Regenwurmröhren 
дренаж 	дрэнаж 	die Drainage, Trockenlegung 
дробить 	крышыць, драбіць	zerstückeln, körnen  
дутик	бульчок, дудзік	die Hohlknolle 
едкий	едкі	ätzend, scharf 
емкость поглощения	емасьць паглынаньня	die Absorptionsgrösse, der Absorptionsumfang 
естественная классификация 	натуральная, прыродная клясыфікацыя	die naturgemässe Klassifikation
железняк бурый 	жалязьняк буры, рудзяк	das Brauneisen [der Braunstein] 
железо закислое  	жалеза закіслае, падтленьнік жалеза	das Eisenoxydul   
железо окислое 	жалеза вокіснае, тленьнік жаілеза	das Eisenoxyd  
железобактерии	жалезабактэрыі	die Eisenbakterien 
желоб стока	рына рыштоку	die Abflussrinne 
желтозем 	жоўтазем, жоўтая глеба	die Gelberde  
жеод 	крыштальнік 	die krystallinische Kalkknolle 
жерства 	жарства 	der Trümmersand  [schwache] 
жидкий (раствор) 	рэдкі (рошчын) 	die Leichtlösung, leichte Lösung 
журавник 	жураўчык 	der Kalkstein, Kalkknollen 
заболачивание	забалочваньне	die Versumpfung 
заболоченный	забалочаны	versumpft 
завертывать (кран)	закручваць (крант)	einschrauben  
заводь	завой, завоіна	die Bucht 
зажим 	заціск 	der Zusammenpresser, Quetscher 
зажимать 	заціскаць 	quetschen, festquetschen, zudrücken 
заиление 	заглейваньне, абглейваньне	das Verschlammen, die Verschlammenung 
заключать	заключаць	umschliessen, einschliessen 
закарстовать 	закарставаць, абзападзініць	verkarsten  
закарстовывание 	закарстоўваньне, абзападжваньне	die Verkarstung  
залегание (породы)	паклад (пароды)	die Lagerung, Schicht 
замедление 	замаруджаньне 	die Verzögerung, der Verzug 
замещение (хим.)	замяшчэньне	das Ersetzen, Vertreten 
западина 	западзіна, за´падзь 	die Senkung, Einsenkung 
запаять	залітаваць	verlöten, zulöten 
заполнение	запаўненьне	die Füllung 
защитная кора 	ахоўная кара 	die Schutzkruste, Schutzkrusterinde 
засасывать	зацягваць	ansaugen, einsaugen 
засорение 	засьмечаньне 	die Verunreinigung, Verstopfung 
зернистый 	крупкаваты, зярністы	körnig, gekörnt  
зерно (физ.)	крупінка	das Korn 
золь	золь	das Sol, Solum 
зона лесо-степная(лесостепная) 	зона [пояс] лесастэпавая	die Waldsteppenzone  
зона подзолистая	зона падзолістая	die Podsolzone 
зона латеритная 	зона лятэрытавая, лятэрытная	die Lateritzone  
зона пустынностепная	зона пустыннастэпавая	die Steppenwüstenzone 
зона степная	зона стэпавая	die Steppenzone 
зона лесная 	зона лясная 	die Waldzone, Wälderzone 
зона черноземная 	зона чарназемная	die Tschernosjomzone 
зона тундровая	зона тундравая	die Tundrenzone 
зональный комплекс	зонавы комплекс 	der Zonalkomplex  
зонд 	зонд, тарфяны сьвідар	die Sonde  
зоны вертикальные	зоны простастаўныя	die vertikalen, senkrechten Zonen 
известковая кора	вапенная кара	die Kalkkruste 
известняк	вапняк	der Kalkstein 
известь 	вапна 	der Kalk, die Kalkerde 
извлечение (из раствора) 	выцягваньне, выцяг (з рошчыну)	das Ausziehen, der Auszug  
измельчение 	здрабненьне 	die Verbröckelung, Verkrümmelung 
изоморфные смеси	ізаморфныя (аднаформныя) сумесі	die isomorphen Mischungen 
изотерма 	ізатэрма, лінія роўнацёплая	die Isotherme  
ил	іл, мул	der Schlamm 
иллювиальный горизонт	ілювіяльны (умыўны) пазем	der Illuvialhorizont  
иллювий	ілюві, умыў	das Illuvium 
индикатор 	індыкатар, ціскамер	der Indikator, Spannungsmesser 
ион	іён	das Ion 
испарение (хим.)  	парава´ньне, выпар 	die Abdampfung, die Ausdampfung, Abdunstung, Verdunstung 
испаритель (Дояренко)	выпарнік (Даярэнкі)	der Verdampfer von Dojarenko 
исследование стационарное  	мясцовае дасьледваньне, мясцовыя досьледы	die stationsmässige Untersuchung, Erforschung  
исток	вытак, выплынь	der Ausfluss 
калиаппарат	каліапарат, калісушыльня	der Kaliapparat 
калий	калі	das Kalium 
калориметр 	калёрымэтр, цепламер	der Kalorimeter, Wärmermesser 
кальций	вапень	das Calcium 
каменистый	камяністы	steinig 
камень	камень	der Stein 
каолин 	каоліна, парцалянавая гліна	der Kaolin, die Рогzellanerde 
капельно-жидкий	кропельнавадкі	tropfbarflüssig 
капиляр 	капіляр 	das Kapillar, die Kapillarröhre 
капилярная влага  	валосная, капілярная вада, вільгаць	das Kapillarwasser   
капилярный подъем	капілярны пад’ём 	das Kapillaraufsteigen  
карбонат	карбонат, вугляк	das Karbonat 
карстовый ландшафт	карставы, западзінны краявід	die Karstgegend, das Karstgelände 
картографія	картаграфія	die Kartographie 
катион	катыён	das Kation 
каучуковая трубка 	гумавая трубка 	das Kautschuckrohr, Gummirohr 
кислородный метод	утляняльны (тленавы) мэтод	die Sauerstoffmethode  
кислотность почвы	кіслотнасьць глебы	der Bodensäurezustand 
кинетический	кінэтычны	kinetisch 
кипячение 	кіпячэньне, гатаваньне	das Kochen, Sieden  
кипущий	кіпячы	kochend, siedend 
клейкость	клейкасьць	die Klebrigkeit 
климат влажный 	клімат вільготны 	das humide, feuchte Klima 
климат полувлажный	клімат напаўвільготны	das Semihumide Klima 
климат полусухой 	клімат напаўсухі 	das Semiaride Klima 
климат сухой 	клімат cyxi 	das aride, trockene Klima 
климат морской 	клімат морскі 	das Seekiima, oceanische Klima 
климат переходный	клімат пераходны	das Übergangsklima  
климат континентальный 	клімат контынэнтальны 	das kontinentale Klima, Festlandsklima 
клочковатый	клаччаваты (Нс.)	klumpig  
коагуляция  	зьліпаньне, згусткаваньне, коагуляцыя	die Koagulation, das Gerinnen  
колба	коўба	die Kolbe 
колбочка	коўбачка	das Kölbchen 
колебание температуры	ваганьне тэмпэратуры	die Temperaturschwankung 
коллоид	колёід	das Kolloid 
колориметр 	фарбамер, колерамэтр	der Kolorimeter, Farbmesser 
кольцо (на штативе)	колца, абручык 	der Ring  
комковатый 	камякаваты, грудкаваты	klumpig, klumpenförmig, ballenförmig 
компаратор  	компаратар, фарбапараўнальнік	der Komparator   
комплекс	комплекс	der Komplex 
конденсация 	кондэнсацыя, згушчэньне	die Kondensation,Verdichtung 
конкреция 	конкрэцыя, сьцяжэньне	die Ausscheidung, Konkretion 
конгломерат 	конглёмэрат, зьліпняк	das Konglomerat, die Anhäufung 
контакт 	контакт, сутык 	der Kontakt, Berührungspunkt 
контактный горизонт 	контактовы пазем, супаземнік	der Berührungshorizont  
конус выноса 	конус (стажок) намыву	die keilförmige Abschlämmung 
концентрация 	концэнтрацыя, гушчыня	die Konzentration  
концентрация водородных ионов 	концэнтрацыя  (гушчыня) іёнаў вадароду	die Wasserstoffionenkonzentration  
коренное месторождение 	асноўнае, первястковае родавішча	das Ursprungsgebiet, Urlager  
клапан	затамка	die Klappe, das Ventil 
красновато-бурый 	чырванавата-буры	rotbraun  
краснозем 	чырвоназем 	die Roterde, "Terra Rossa" 
кремний	сыліцы, крэмні	das Silicium 
кремнекислота 	сыліцыевая кіслата	die Kieselsäure  
креновая кислота 	крэнавая кіслата, крынічная кіслата	die Krensäure  
кренаты	крэнаты	die Krenate 
кристаллический осадок	крышталёвы ападак	der krystallische Niederschlag 
крупность	буйнасьць	die Grösse, Stärke 
крупнозем	буйназем	die Groberde 
купорить 	каркаваць, закаркоўваць	verstopfen, verspünden, verkorken 
крутой склон 	стромкі схіл, спад	der Steilabhang, steile Abhang 
кротовина 	кратаві´на, крато´віна	der Maulwurfsgang, die Krotowine 
куполообразный (холм)	стагаваты (узгорак)	der kuppelartige Hügel 
капельница	кропельніца	das Tropfgefäss 
кучевидные отложения	кучавідныя адклады	die haufenförmige Ablagerungen 
кремнезем	крэмнязем	die Kieselerde 
лаборатория	лябораторыя	das Laboratorium 
латерит	лятэрыт	der Laterit 
ледник	ледавік	der Gletscher 
ледниковое отложение	ледавіковы адклад	die Gletscherablagerung, Eisablagerung 
лесная подстилка	лясны падсьціл	die Waldstreu 
лесное насаждение 	лесазасеў (Н. T. 3), пасадка лесу (H. Т. 8)	der Waldbestand   
лёсс 	лёэс [Н. Т. 3 і 5], жоўтая гліна	der Löss  
лёсс желтый	лёэс жоўты	der gelbe Löss 
лёсс ореховый 	лёэс арэхавы, арэхаваколерны	der nussbraune Löss  
лёсс палевый 	лёэс па´левы; палавы	der hellgelbe, paille Löss 
лессовая порода	лёэсавая парода	das lössartige Gestein 
лжегрибница	нібыгрыбня	der Scheinpilz 
локализация солей 	лёкалізацыя, згушчэньне соляў	die Lokalisierung, Ortsbeschränkung d. S. 
лом	лом	die Brechstange 
лопата 	рыдлёўка 	die Schaufel, der Spaten 
лопатка (мех. ан.)	мешалка	der Spatel 
лощина 	лагчына 	die Vertiefung, Einsenkung 
луг	луг	die Wiese 
луг альпийский 	луг альпійскі 	die Alm, die Alpenwiese 
луг заливной	поплаў	die Rieselwiese 
луг болотный	луг балотны	die Sumpfwiese 
луг сухой  	сухадол, луг мурожны, сухадольны	die trockene Wiese   
марганцевая конкреция	манганавая конкрэцыя	die Manganausscheidung 
массив	масыў	das Massiv 
массивная порода	масыўная парода	das Gesteinsmassiv 
масштаб съемки	маштаб здымкі 	der Massstab der Aufnahme 
материал взвешенный	каламута 	die Trübigkeit, Geschlämme 
материал растворенный	распушчаны матар’ял	das aufgelöste, gelöste Material 
материнская порода	мацярынская парода	das Muttergestein  
медитеранский  	мэдытэранскі,  міжземляморскі	Mediterran-, gehörig zu Mittelmeer  
межледниковае отложение	міжледавіковы адклад	die Zwischenablagerung im Gletscher 
макрорельеф 	макрорэльеф 	das Makrorelief, Makrogelände 
мел	крэйда, мел	die Kreide 
мелкозем	дробназем	die Feinerde 
мелкозернистый  	дробнакрупкаваты, дробназярністы	feinkörnig   
мензурка 	мэнзурка 	die Mensur, der Flüssigkeitsmesser 
мергель пресноводный	маргель азерны 	der Seemergel  
мерный стакан [мех. ан.] 	вымерная падзельная шклянка	das Messglass   
местность волнистая	мясцовасьць хваляватая	das wellenförmige Gelände 
местность равнинная	мясцовасьць раўнінная	das ebene Gelände  
метазоматический 	мэтазоматычны 	metasomatisch, selbstverdrängend 
метка сливания 	рыска, метка зьліваньня	der Abstrich, die Grenze des Abgusses 
механический состав	мэханічны склад 	die mechanische Zusammensetzung 
микрорельеф 	мікрорэльеф 	das Mikrorelief, Mikrogelände 
микроскоп двойной	бінокуляр, мікроскоп падвойны	das Binokular, Doppelmikroskop 
минерал	мінэрал	das Mineral 
модер [вид гумуса]	модэр 	der Moder  
молекула 	моле´кула, частачка	das Molekül, die Molekel 
монолит 	моноліт, цэльнасьць	der Monolith  
монтировка 	монтаваньне, наладжваньне	das Montieren, die Montur 
морена 	морэна, чырвоная гліна	die Moräne  
морена валунная 	морэна камяністая	die Steinmoräne, Geröllmoräne 
морена конечная	морэна канцавая	die Endmoräne 
морена кремневая 	морэна крамнёвая	die Kieselmoräne  
морена местная 	морэна мясцовая, мясцоўка	die örtliche Moräne, Ortsmoräne 
морена поддонная	морэна падысподняя [Н. Т. 3]	die Grundmoräne  
моренный ландшафт	морэнавы краявід 	die Moränengelände  
морфология почв 	морфалёгія глебы 	die Morphologie des Bodens 
